time,price,volume
091200,59700,5048359
091205,59600,5053276
091210,59600,5162417
091215,59500,5169042
091220,59500,5177851
091225,59500,5284678
091230,59500,5290630
091235,59400,5299375
091240,59400,5310204
091245,59400,5328881
091250,59400,5445753
091255,59300,5450550
091300,59400,5480102
091305,59300,5484881
091310,59300,5493042
091315,59400,5575064
091320,59500,5602629
091325,59500,5607649
091330,59400,5610148
091335,59500,5622735
091340,59500,5634097
091345,59400,5636473
091350,59400,5647980
091355,59400,5671655
091400,59500,5702278
091405,59500,5709457
091410,59400,5722555
091415,59500,5731950
091420,59400,5736913
091425,59500,5743829
091430,59500,5751844
091435,59400,5757333
091440,59400,5759797
091445,59500,5782039
091450,59500,5932918
091455,59500,5953615
091500,59600,6039404
091505,59700,6060368
091510,59600,6085744
091515,59600,6128355
091520,59600,6134956
091525,59600,6135822
091530,59500,6141151
091535,59600,6149059
091540,59600,6175411
091545,59500,6178053
091550,59500,6187441
091555,59600,6191957
091600,59600,6243543
091605,59700,6273142
091610,59600,6276131
091615,59600,6281225
091620,59700,6283758
091625,59700,6284980
091630,59700,6291118
091635,59600,6295718
091640,59600,6296919
091645,59700,6299809
091650,59700,6304716
091655,59700,6334313
091700,59700,6365131
091705,59700,6499053
091710,59800,6506661
091715,59800,6508448
091720,59800,6523962
091725,59800,6526834
091730,59700,6541105
091735,59800,6550812
091740,59700,6558339
091745,59800,6605431
091750,59800,6743631
091755,59800,6760596
091800,59900,6770684
091805,59900,6781522
091810,59900,6785659
091815,59800,6850535
091820,59800,6856514
091825,59800,6857615
091830,59800,6865226
091835,59800,6870196
091840,59800,6882089
091845,59800,6903229
091850,59800,6959635
091855,59800,6975688
091900,59800,6982494
091905,59700,7024132
091910,59800,7042786
091915,59800,7044591
091920,59800,7051959
091925,59900,7055826
091930,59800,7061381
091935,59900,7063431
091940,59800,7065122
091945,59800,7079337
091950,59800,7080518
091955,59800,7113889
092000,59900,7119280
092005,59900,7131387
092010,59800,7142893
092015,59800,7147062
092020,59700,7150487
092025,59700,7155189
092030,59800,7156215
092035,59800,7160679
092040,59800,7168274
