,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio,profit
2027,0,20,20200901092000 ,0.7,0.5,10,1,0.5,0.7,100,0.56,11,4,0.36,6.16
784,0,20,20200901091000 ,0.5,0.7,5,1,0.5,0.7,2000,0.33,7,3,0.43,2.31
1001,0,20,20200901092000 ,0.5,0.7,10,2,0.5,0.7,2000,0.34,18,9,0.5,6.12
916,0,20,20200901091000 ,0.5,0.7,10,1,0.5,0.5,2000,0.33,7,4,0.57,2.31
494,0,20,20200901093000 ,0.5,0.5,100,1,0.5,0.7,100,0.4,15,7,0.47,6
2780,0,20,20200901091000 ,0.7,0.9,5,1,0.5,0.5,100,0.33,6,3,0.5,1.98
197,0,20,20200901092000 ,0.5,0.5,5,1,0.5,0.5,2000,0.24,25,13,0.52,6
349,0,20,20200901092000 ,0.5,0.5,10,1,0.5,0.7,100,0.24,25,15,0.6,6
495,0,20,20200901101000 ,0.5,0.5,100,1,0.5,0.7,100,0.24,25,12,0.48,6
2222,0,20,20200901092000 ,0.7,0.7,2,1,0.5,0.7,100,0.27,22,12,0.55,5.94
2662,0,20,20200901092000 ,0.7,0.9,2,1,0.5,0.7,100,0.27,22,9,0.41,5.94
1424,0,20,20200901092000 ,0.5,0.9,5,2,0.5,0.5,20000,0.31,9,6,0.67,2.79
989,0,20,20200901092000 ,0.5,0.7,10,2,0.5,0.5,2000,0.31,19,10,0.53,5.89
1141,0,20,20200901093000 ,0.5,0.7,100,2,0.5,0.7,100,0.38,15,6,0.4,5.7
528,0,20,20200901091000 ,0.5,0.5,100,2,0.3,0.7,100,0.3,9,6,0.67,2.7
65,0,20,20200901092000 ,0.5,0.5,2,1,0.5,0.7,2000,0.18,31,17,0.55,5.58
1288,0,20,20200901092000 ,0.5,0.9,2,2,0.5,0.7,2000,0.15,37,28,0.76,5.55
1059,0,20,20200901101000 ,0.5,0.7,100,1,0.5,0.5,100,0.22,25,12,0.48,5.5
2212,0,20,20200901092000 ,0.7,0.7,2,1,0.5,0.5,100,0.22,25,15,0.6,5.5
1909,0,20,20200901092000 ,0.7,0.5,5,1,0.5,0.7,100,0.42,13,6,0.46,5.46
1683,0,20,20200901092000 ,0.5,0.9,100,2,0.3,0.7,2000,0.16,34,21,0.62,5.44
1637,0,20,20200901093000 ,0.5,0.9,100,1,0.5,0.5,2000,0.45,12,6,0.5,5.4
213,0,20,20200901092000 ,0.5,0.5,5,1,0.5,0.7,20000,0.27,7,3,0.43,1.89
532,0,20,20200901091000 ,0.5,0.5,100,2,0.3,0.7,2000,0.27,8,5,0.62,2.16
1220,0,20,20200901092000 ,0.5,0.9,2,1,0.5,0.7,20000,0.49,11,6,0.55,5.39
413,0,20,20200901092000 ,0.5,0.5,10,2,0.5,0.5,2000,0.28,19,11,0.58,5.32
2909,0,20,20200901101000 ,0.7,0.9,10,1,0.5,0.7,100,0.22,24,5,0.21,5.28
2526,0,20,20200901092000 ,0.7,0.7,10,2,0.5,0.7,100,0.48,11,4,0.36,5.28
