,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio
113,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.55,6,6,1
114,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.29,22,20,0.91
115,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.25,37,30,0.81
116,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.74,1,1,1
117,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.55,6,6,1
118,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.29,20,19,0.95
119,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.25,35,29,0.83
120,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.3,100,-0.21,9,7,0.78
121,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.3,100,-0.24,20,15,0.75
122,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.3,100,-0.19,43,29,0.67
123,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.3,100,-0.21,92,72,0.78
781,0,20,20200901093000 ,0.9,0.7,2,2,0.5,0.5,2000,0.98,1,0,0
782,0,20,20200901101000 ,0.9,0.7,2,2,0.5,0.5,2000,0.98,1,0,0
859,0,20,20200901093000 ,0.9,0.7,2,2,0.5,0.3,2000,0.98,1,0,0
860,0,20,20200901101000 ,0.9,0.7,2,2,0.5,0.3,2000,0.98,1,0,0
865,0,20,20200901093000 ,0.9,0.7,2,2,0.5,0.5,2000,0.98,1,0,0
866,0,20,20200901101000 ,0.9,0.7,2,2,0.5,0.5,2000,0.98,1,0,0
130,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.5,100,-0.23,5,3,0.6
131,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,100,-0.27,10,8,0.8
132,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,100,-0.19,22,16,0.73
133,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.5,100,-0.23,44,33,0.75
134,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,2000,-0.28,1,1,1
135,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,2000,-0.07,8,6,0.75
1308,0,20,20200901093000 ,0.9,0.9,2,1,0.5,0.3,2000,0.98,1,0,0
137,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,20000,-0.28,1,1,1
138,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,20000,-0.09,6,5,0.83
1309,0,20,20200901101000 ,0.9,0.9,2,1,0.5,0.3,2000,0.98,1,0,0
140,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.7,100,-0.74,2,2,1
141,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,100,-0.27,7,6,0.86
142,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,100,-0.19,18,13,0.72
143,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.7,100,-0.24,38,28,0.74
144,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,2000,-0.28,1,1,1
145,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,2000,-0.12,8,6,0.75
146,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.7,2000,-0.01,11,7,0.64
147,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,20000,-0.28,1,1,1
148,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,20000,-0.09,6,5,0.83
1314,0,20,20200901093000 ,0.9,0.9,2,1,0.5,0.5,2000,0.98,1,0,0
150,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.3,100,-0.65,2,2,1
151,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.3,100,-0.53,3,3,1
152,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.3,100,-0.15,4,3,0.75
153,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.3,100,-0.29,10,8,0.8
1315,0,20,20200901101000 ,0.9,0.9,2,1,0.5,0.5,2000,0.98,1,0,0
1320,0,20,20200901093000 ,0.9,0.9,2,1,0.5,0.7,2000,0.98,1,0,0
156,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.5,100,-1.02,1,1,1
157,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.5,100,-0.65,2,2,1
158,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.5,100,-0.11,3,2,0.67
159,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.5,100,-0.37,5,4,0.8
1321,0,20,20200901101000 ,0.9,0.9,2,1,0.5,0.7,2000,0.98,1,0,0
1392,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.3,2000,0.98,1,0,0
162,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.7,100,-1.02,1,1,1
163,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.7,100,-0.65,2,2,1
164,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.7,100,-0.25,3,2,0.67
165,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.7,100,-0.46,5,4,0.8
1393,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.3,2000,0.98,1,0,0
1398,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.5,2000,0.98,1,0,0
168,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,100,-0.26,10,8,0.8
169,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,100,-0.31,26,21,0.81
170,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,100,-0.24,60,45,0.75
171,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,100,-0.25,136,113,0.83
172,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.74,1,1,1
173,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.48,6,5,0.83
174,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.19,24,20,0.83
175,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,2000,-0.16,45,38,0.84
176,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.74,1,1,1
177,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.48,6,5,0.83
178,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.22,21,19,0.9
179,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.3,20000,-0.17,42,37,0.88
180,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,100,-0.31,6,4,0.67
181,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,100,-0.37,17,15,0.88
182,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,100,-0.26,41,33,0.8
183,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,100,-0.28,78,62,0.79
184,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.74,1,1,1
185,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.55,6,6,1
186,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.25,22,20,0.91
187,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,2000,-0.23,38,31,0.82
188,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.74,1,1,1
189,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.55,6,6,1
190,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.29,20,19,0.95
