,index,time,code,price,volume,hoga_sell_amount,hoga_buy_amount
132,0,20200901091635 ,214330,4700,16727646,44542,211281
133,0,20200901091640 ,214330,4715,16768224,46138,56180
134,0,20200901091646 ,214330,4700,16795035,46149,99255
135,0,20200901091651 ,214330,4655,16857218,47531,112674
136,0,20200901091656 ,214330,4650,16987639,34930,105047
137,0,20200901091701 ,214330,4665,17068417,58467,106243
138,0,20200901091707 ,214330,4675,17086982,87337,83012
139,0,20200901091712 ,214330,4680,17122638,86260,80785
140,0,20200901091718 ,214330,4695,17172927,67370,77489
141,0,20200901091723 ,214330,4710,17247597,62742,87658
142,0,20200901091728 ,214330,4715,17306163,66284,78017
143,0,20200901091734 ,214330,4710,17339616,62267,93993
144,0,20200901091740 ,214330,4715,17364712,67717,110532
145,0,20200901091745 ,214330,4660,17493580,63494,84119
146,0,20200901091750 ,214330,4665,17520146,69780,61200
147,0,20200901091756 ,214330,4695,17550364,68083,58057
148,0,20200901091801 ,214330,4700,17576599,53067,56621
149,0,20200901091806 ,214330,4680,17609850,68404,81292
150,0,20200901091811 ,214330,4685,17628680,73644,76807
151,0,20200901091817 ,214330,4680,17663655,77242,105457
152,0,20200901091822 ,214330,4660,17676077,0,0
153,0,20200901091827 ,214330,4650,17707080,0,0
154,0,20200901091832 ,214330,4620,17781331,0,0
155,0,20200901091837 ,214330,4620,17840311,0,0
156,0,20200901091842 ,214330,4615,17893748,0,0
157,0,20200901091848 ,214330,4605,17967951,0,0
158,0,20200901091853 ,214330,4605,18098575,0,0
159,0,20200901091858 ,214330,4630,18190469,0,0
160,0,20200901091903 ,214330,4620,18314453,0,0
161,0,20200901091909 ,214330,4605,18326215,0,0
162,0,20200901091914 ,214330,4615,18352972,0,0
163,0,20200901091920 ,214330,4615,18376501,0,0
164,0,20200901091925 ,214330,4615,18423257,0,0
165,0,20200901091931 ,214330,4600,18504057,0,0
166,0,20200901091936 ,214330,4585,18638087,0,0
167,0,20200901091941 ,214330,4595,18709282,0,0
168,0,20200901091947 ,214330,4595,18734046,0,0
169,0,20200901091952 ,214330,4585,18778617,0,0
170,0,20200901091957 ,214330,4610,18825232,0,0
171,0,20200901092002 ,214330,4610,18853305,0,0
172,0,20200901092008 ,214330,4610,18866170,0,0
173,0,20200901092013 ,214330,4615,18924482,0,0
174,0,20200901092019 ,214330,4620,18959588,0,0
175,0,20200901092024 ,214330,4615,18972102,0,0
176,0,20200901092029 ,214330,4615,19025387,0,0
177,0,20200901092035 ,214330,4615,19046133,0,0
178,0,20200901092040 ,214330,4620,19055882,0,0
179,0,20200901092046 ,214330,4640,19132803,0,0
180,0,20200901092051 ,214330,4650,19179952,0,0
181,0,20200901092057 ,214330,4655,19224261,0,0
182,0,20200901092102 ,214330,4660,19246957,0,0
183,0,20200901092107 ,214330,4655,19314864,0,0
184,0,20200901092113 ,214330,4655,19329604,0,0
185,0,20200901092118 ,214330,4675,19366684,0,0
186,0,20200901092124 ,214330,4695,19469352,0,0
187,0,20200901092129 ,214330,4710,19580182,0,0
188,0,20200901092134 ,214330,4710,19646238,0,0
189,0,20200901092140 ,214330,4700,19685581,0,0
190,0,20200901092145 ,214330,4705,19738914,0,0
191,0,20200901092150 ,214330,4705,19771369,0,0
192,0,20200901092156 ,214330,4710,19842565,0,0
193,0,20200901092201 ,214330,4730,19887538,0,0
